Rivet 3.1.1 running on machine aligentest.cern.ch (x86_64) at 2022-04-15 14:17:07
Reading events from '/tmp/p8R3.fifo'
Event 25100 (0:05:11 elapsed)
Event 25200 (0:05:12 elapsed)
Event 25300 (0:05:13 elapsed)
Event 25400 (0:05:15 elapsed)
Event 25500 (0:05:16 elapsed)
Event 25600 (0:05:17 elapsed)
Event 25700 (0:05:18 elapsed)
Event 25800 (0:05:19 elapsed)
Event 25900 (0:05:20 elapsed)
Event 26000 (0:05:21 elapsed)
Event 26100 (0:05:22 elapsed)
Event 26200 (0:05:23 elapsed)
Event 26300 (0:05:24 elapsed)
Event 26400 (0:05:25 elapsed)
Event 26500 (0:05:26 elapsed)
Event 26600 (0:05:27 elapsed)
Event 26700 (0:05:28 elapsed)
Event 26800 (0:05:30 elapsed)
Event 26900 (0:05:31 elapsed)
Event 27000 (0:05:32 elapsed)
Event 27100 (0:05:33 elapsed)
Event 27200 (0:05:34 elapsed)
Event 27300 (0:05:35 elapsed)
Event 27400 (0:05:36 elapsed)
Event 27500 (0:05:37 elapsed)
Event 27600 (0:05:38 elapsed)
Event 27700 (0:05:40 elapsed)
Event 27800 (0:05:41 elapsed)
Event 27900 (0:05:42 elapsed)
Event 28000 (0:05:43 elapsed)
Event 28100 (0:05:45 elapsed)
Event 28200 (0:05:46 elapsed)
Event 28300 (0:05:47 elapsed)
Event 28400 (0:05:48 elapsed)
Event 28500 (0:05:49 elapsed)
Event 28600 (0:05:50 elapsed)
Event 28700 (0:05:51 elapsed)
Event 28800 (0:05:52 elapsed)
Event 28900 (0:05:54 elapsed)
Event 29000 (0:05:54 elapsed)
Event 29100 (0:05:55 elapsed)
Event 29200 (0:05:56 elapsed)
Event 29300 (0:05:58 elapsed)
Event 29400 (0:05:59 elapsed)
Event 29500 (0:06:00 elapsed)
Event 29600 (0:06:00 elapsed)
Event 29700 (0:06:01 elapsed)
Event 29800 (0:06:02 elapsed)
Event 29900 (0:06:04 elapsed)
Event 30000 (0:06:05 elapsed)
Event 30100 (0:06:06 elapsed)
Event 30200 (0:06:07 elapsed)
Event 30300 (0:06:08 elapsed)
Event 30400 (0:06:10 elapsed)
Event 30500 (0:06:11 elapsed)
Event 30600 (0:06:12 elapsed)
Event 30700 (0:06:13 elapsed)
Event 30800 (0:06:14 elapsed)
Event 30900 (0:06:15 elapsed)
Event 31000 (0:06:16 elapsed)
Event 31100 (0:06:17 elapsed)
Event 31200 (0:06:18 elapsed)
Event 31300 (0:06:19 elapsed)
Event 31400 (0:06:21 elapsed)
Event 31500 (0:06:22 elapsed)
Event 31600 (0:06:23 elapsed)
Event 31700 (0:06:24 elapsed)
Event 31800 (0:06:25 elapsed)
Event 31900 (0:06:26 elapsed)
Event 32000 (0:06:27 elapsed)
Event 32100 (0:06:29 elapsed)
Event 32200 (0:06:30 elapsed)
Event 32300 (0:06:31 elapsed)
Event 32400 (0:06:32 elapsed)
Event 32500 (0:06:33 elapsed)
Event 32600 (0:06:34 elapsed)
Event 32700 (0:06:35 elapsed)
Event 32800 (0:06:36 elapsed)
Event 32900 (0:06:37 elapsed)
Event 33000 (0:06:39 elapsed)
Event 33100 (0:06:40 elapsed)
Event 33200 (0:06:41 elapsed)
Event 33300 (0:06:42 elapsed)
Event 33400 (0:06:43 elapsed)
Event 33500 (0:06:44 elapsed)
Event 33600 (0:06:45 elapsed)
Event 33700 (0:06:47 elapsed)
Event 33800 (0:06:48 elapsed)
Event 33900 (0:06:48 elapsed)
Event 34000 (0:06:50 elapsed)
Event 34100 (0:06:51 elapsed)
Event 34200 (0:06:51 elapsed)
Event 34300 (0:06:53 elapsed)
Event 34400 (0:06:53 elapsed)
Event 34500 (0:06:55 elapsed)
Event 34600 (0:06:56 elapsed)
Event 34700 (0:06:57 elapsed)
Event 34800 (0:06:58 elapsed)
Event 34900 (0:06:59 elapsed)
Event 35000 (0:07:00 elapsed)
Event 35100 (0:07:01 elapsed)
Event 35200 (0:07:03 elapsed)
Event 35300 (0:07:04 elapsed)
Event 35400 (0:07:05 elapsed)
Event 35500 (0:07:06 elapsed)
Event 35600 (0:07:07 elapsed)
Event 35700 (0:07:08 elapsed)
Event 35800 (0:07:09 elapsed)
Event 35900 (0:07:10 elapsed)
Event 36000 (0:07:11 elapsed)
Event 36100 (0:07:13 elapsed)
Event 36200 (0:07:14 elapsed)
Event 36300 (0:07:15 elapsed)
Event 36400 (0:07:16 elapsed)
Event 36500 (0:07:17 elapsed)
Event 36600 (0:07:18 elapsed)
Event 36700 (0:07:19 elapsed)
Event 36800 (0:07:20 elapsed)
Event 36900 (0:07:22 elapsed)
Event 37000 (0:07:23 elapsed)
Event 37100 (0:07:24 elapsed)
Event 37200 (0:07:25 elapsed)
Event 37300 (0:07:26 elapsed)
Event 37400 (0:07:27 elapsed)
Event 37500 (0:07:29 elapsed)
Event 37600 (0:07:30 elapsed)
Event 37700 (0:07:31 elapsed)
Event 37800 (0:07:32 elapsed)
Event 37900 (0:07:33 elapsed)
Event 38000 (0:07:34 elapsed)
Event 38100 (0:07:35 elapsed)
Event 38200 (0:07:36 elapsed)
Event 38300 (0:07:38 elapsed)
Event 38400 (0:07:39 elapsed)
Event 38500 (0:07:40 elapsed)
Event 38600 (0:07:41 elapsed)
Event 38700 (0:07:43 elapsed)
Event 38800 (0:07:44 elapsed)
Event 38900 (0:07:45 elapsed)
Event 39000 (0:07:46 elapsed)
Event 39100 (0:07:47 elapsed)
Event 39200 (0:07:48 elapsed)
Event 39300 (0:07:49 elapsed)
Event 39400 (0:07:50 elapsed)
Event 39500 (0:07:51 elapsed)
Event 39600 (0:07:52 elapsed)
Event 39700 (0:07:53 elapsed)
Event 39800 (0:07:54 elapsed)
Event 39900 (0:07:56 elapsed)
Event 40000 (0:07:57 elapsed)
Event 40100 (0:07:58 elapsed)
Event 40200 (0:07:59 elapsed)
Event 40300 (0:08:00 elapsed)
Event 40400 (0:08:01 elapsed)
Event 40500 (0:08:02 elapsed)
Event 40600 (0:08:03 elapsed)
Event 40700 (0:08:04 elapsed)
Event 40800 (0:08:05 elapsed)
Event 40900 (0:08:06 elapsed)
Event 41000 (0:08:07 elapsed)
Event 41100 (0:08:08 elapsed)
Event 41200 (0:08:09 elapsed)
Event 41300 (0:08:10 elapsed)
Event 41400 (0:08:12 elapsed)
Event 41500 (0:08:13 elapsed)
Event 41600 (0:08:14 elapsed)
Event 41700 (0:08:15 elapsed)
Event 41800 (0:08:16 elapsed)
Event 41900 (0:08:17 elapsed)
Event 42000 (0:08:19 elapsed)
Event 42100 (0:08:20 elapsed)
Event 42200 (0:08:21 elapsed)
Event 42300 (0:08:22 elapsed)
Event 42400 (0:08:23 elapsed)
Event 42500 (0:08:24 elapsed)
Event 42600 (0:08:25 elapsed)
Event 42700 (0:08:26 elapsed)
Event 42800 (0:08:27 elapsed)
Event 42900 (0:08:28 elapsed)
Event 43000 (0:08:29 elapsed)
Event 43100 (0:08:31 elapsed)
